"study_duration","finished","consent","abortion_att_binary","abortion_att_pre_1","abortion_att_pre_2","abortion_att_pre_3","abortion_certain","abortion_imp","vaccine_att_binary","vaccine_att_pre_1","vaccine_att_pre_2","vaccine_att_pre_3","vaccine_certain","vaccine_imp","uh_att_binary","uh_att_pre_1","uh_att_pre_2","uh_att_pre_3","uh_certain","uh_imp","firearm_att_binary","firearm_att_pre_1","firearm_att_pre_2","firearm_att_pre_3","firearm_certain","firearm_imp","abortion_init_resp","abortion_att_post_1","abortion_att_post_2","abortion_att_post_3","perc_ai_strength","perc_ai_bias","vaccine_init_resp","vaccine_att_post_1","vaccine_att_post_2","vaccine_att_post_3","uh_init_resp","uh_att_post_1","uh_att_post_2","uh_att_post_3","firearm_init_resp","firearm_att_post_1","firearm_att_post_2","firearm_att_post_3","perc_useful","perc_satisfaction","ai_disable","abortion_final_resp","vaccine_final_resp","uh_final_resp","firearm_final_resp","age","gender","education","race","partisanship","abortion_pro_1_clicked","vaccine_pro_1_clicked","unihealthcare_pro_1_clicked","gun_pro_1_clicked","abortion_pro_2_clicked","abortion_pro_3_clicked","abortion_pro_4_clicked","abortion_pro_5_clicked","abortion_con_2_clicked","abortion_con_1_clicked","abortion_con_3_clicked","abortion_con_4_clicked","abortion_con_5_clicked","vaccine_pro_2_clicked","vaccine_pro_3_clicked","vaccine_pro_4_clicked","vaccine_pro_5_clicked","vaccine_con_2_clicked","vaccine_con_3_clicked","vaccine_con_4_clicked","vaccine_con_5_clicked","unihealthcare_pro_5_clicked","unihealthcare_pro_2_clicked","unihealthcare_pro_3_clicked","unihealthcare_pro_4_clicked","unihealthcare_con_2_clicked","unihealthcare_con_3_clicked","unihealthcare_con_4_clicked","unihealthcare_con_5_clicked","gun_pro_2_clicked","gun_pro_3_clicked","gun_pro_4_clicked","gun_pro_5_clicked","gun_con_2_clicked","gun_con_3_clicked","gun_con_4_clicked","gun_con_5_clicked","vaccine_con_1_clicked","unihealthcare_con_1_clicked","gun_con_1_clicked","abortion_pro_First.Click","abortion_pro_Last.Click","abortion_anti_First.Click","abortion_anti_Last.Click","abortion_control_First.Click","abortion_control_Last.Click","vaccine_pro_First.Click","vaccine_pro_Last.Click","vaccine_con_First.Click","vaccine_con_Last.Click","vaccine_control_First.Click","vaccine_control_Last.Click","uh_pro_First.Click","uh_pro_Last.Click","uh_con_First.Click","uh_con_Last.Click","uh_control_First.Click","uh_control_Last.Click","firearm_pro_First.Click","firearm_pro_Last.Click","firearm_con_First.Click","firearm_con_Last.Click","firearm_control_First.Click","firearm_control_Last.Click","study_condition","abortion_att_pre","vaccine_att_pre","uh_att_pre","firearm_att_pre","abortion_att_post","vaccine_att_post","uh_att_post","firearm_att_post","treatment_condition","topic","abortion_pro_clicks","abortion_con_clicks","vaccine_pro_clicks","vaccine_con_clicks","uh_pro_clicks","uh_con_clicks","firearm_pro_clicks","firearm_con_clicks","total_clicks","ac_links","aic_links","attitude_strength","partisanship_strength","attitude_polarization","attitude_post","first_click","last_click"
670,1,1,2,2,2,1,6,4,2,3,4,3,1,4,1,4,4,5,3,4,1,2,5,6,5,5,"",NA,NA,NA,6,2,"",NA,NA,NA,"I think healthcare is important for everyone, and I'm not sure if the best way is universal healthcare or not.  I know it has not been extremely successful in other countries.  It tends to give poorer healthcare overall.",4,4,4,"",NA,NA,NA,6,6,2,"","","I do feel that everyone in America deserves healthcare, however a universal approach does limit the innovation that can be found in the medical field.  This universal healthcare may mostly benefit lower income people, but for those that have a system of payment, they are going to be limited in what services are offered to them, and what other innovative approaches they are given because the cost it would have on the universal healthcare program.","",61,2,6,"1",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.219,179.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uh_pro",1.66666666666667,3.33333333333333,4.33333333333333,4.33333333333333,NA,NA,4,NA,"AC_AI_Summary","Universal Healthcare",0,0,0,0,0,1,0,0,1,0,1,3.5,2,-0.333333333333333,4,16.219,179.098
534,1,1,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,1,3,6,6,6,6,"",NA,NA,NA,6,1,"Yes, I think so. Vaccines stop diseases from spreading. We can't stop the spread of disease without everyone doing their part and getting vaccinated. Your rights don't trump other peoples' rights to be healthy. You need to get your vaccines so you don't get other people sick, and this should be compulsory. ",6,6,6,"",NA,NA,NA,"",NA,NA,NA,6,6,2,"","Vaccination mandates are a useful tool for curtailing the spread of disease. While some argue that it is a violation of their personal liberties, one could also argue that it is a violation of the liberties of others to spread diseases around and get other people sick. So a mandate for everyone to be vaccinated would create a more free society, a society free of preventable illnesses. We should all do our part for the greater good of society and get vaccinated. It is ultimately for the best.","","",37,1,6,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,7.746,42.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vaccine_pro",6,6,6,5,NA,6,NA,NA,"AC_AI_Summary","Vaccine Mandates",0,0,3,3,0,0,0,0,6,3,3,6,3,0,6,7.746,42.09
591,1,1,1,6,6,6,6,6,1,6,6,6,6,6,1,5,6,6,6,4,1,1,1,6,6,6,"",NA,NA,NA,4,5,"Vaccines save lives, they should be mandated.",6,6,6,"",NA,NA,NA,"",NA,NA,NA,2,3,1,"","Vaccines have proven time after time, that they protect public health.  It takes a short look at history to see the proof of this.  Many diseases like Measles, Small Pox, and even Covid, have been tamed by a simple vaccine.  Prioritizing making vaccines mandated will only protect people.  Schools, hospitals, churches, and communities can irradicated deadly diseases by getting vaccinated against them.  It is a matter of safety for all.","","",47,2,3,"1,6",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4.257,178.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vaccine_anti",6,6,5.66666666666667,2.66666666666667,NA,6,NA,NA,"AIC_AI_Summary","Vaccine Mandates",0,0,2,0,0,0,0,0,2,2,0,6,3,0,6,4.257,178.894
452,1,1,2,1,1,1,6,6,2,1,2,1,6,6,2,2,1,1,6,6,2,1,2,2,6,5,"",NA,NA,NA,3,6,"No, vaccine mandates should not be allowed. It is not right to force another person to be vaccinated. If someone wants to play with their own health and ruin their life, that is their choice.",1,1,1,"",NA,NA,NA,"",NA,NA,NA,1,3,1,"","If our government was to start mandating vaccines it would be the start of a slippery slope of loss of freedom. What starts out with forced vaccination could turn into forced marriages and forced careers. Basically communism starts here if we do this crap. The number of people who choose not to vaccinate is incredibly small. Mandates are pointless and stupid.","","",22,2,3,"1",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,44.746,164.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vaccine_pro",1,1.33333333333333,1.33333333333333,1.66666666666667,NA,1,NA,NA,"AIC_AI_Summary","Vaccine Mandates",0,0,0,4,0,0,0,0,4,4,0,6,2,0.333333333333333,6,44.746,164.84
557,1,1,1,6,6,6,6,6,1,6,6,6,6,6,1,5,6,6,6,6,1,2,6,6,5,1,"Yes it should be legal, her body her choice",6,6,6,5,4,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,5,4,2,"woman’s right to bodily autonomy is fundamental e. The decision to have an abortion is deeply personal and should remain solely with the individual, free from government interference. Protecting this right makes sure  women can make choices about their health, futures, and families. True equality and freedom depend on respecting and upholding women’s control over their own bodies.","","","",45,1,5,"3",1,1,0,0,0,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,7.988,179.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"abortion_anti",6,6,5.66666666666667,4.66666666666667,6,NA,NA,NA,"AIC_AI_Summary","Abortion",5,3,0,0,0,0,0,0,8,5,3,6,3,0,6,7.988,179.347
544,1,1,2,2,2,3,4,3,1,5,5,4,4,5,1,4,5,4,4,5,1,4,4,4,3,3,"",NA,NA,NA,5,5,"",NA,NA,NA,"Yes, I think universal healthcare could improve access and equity, though it would require careful planning to manage costs.",5,5,4,"",NA,NA,NA,4,5,2,"","","I support universal healthcare in the U.S. because it would ensure everyone has access to medical care, reduce financial strain, and improve public health. While costs and wait times are concerns, expanding programs like Medicare and Medicaid gradually could make healthcare more equitable and save lives.","",30,1,6,"1",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.574,48.317,NA,NA,NA,NA,NA,NA,NA,NA,"uh_anti",2.33333333333333,4.66666666666667,4.33333333333333,4,NA,NA,4.66666666666667,NA,"AIC_AI_Summary","Universal Healthcare",0,0,0,0,1,3,0,0,4,1,3,4.5,2,0.333333333333334,4.66666666666667,8.574,48.317
546,1,1,1,6,6,6,6,6,1,5,5,5,6,6,1,6,6,6,6,6,1,4,5,6,6,6,"",NA,NA,NA,6,2,"",NA,NA,NA,"",NA,NA,NA,"The US has a major problem with gun violence. The numbers grow each year and the age of those who commit the crimes is lowering. We must do something, anything would be a great start.",5,5,6,6,6,2,"","","","The gun violence is so aggressively growing it needs something to stop the cycle. It should be harder for those to get guns. They should not be selling guns at Wal Marts and Bass Pro Shops. Guns are not toys yet they are taught they are at a young age. Youth reach out would be critical in making a difference but that is only a start. We are so far gone we need a beginning to the end of a problem.  ",51,2,4,"1",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,2,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.316,172.984,NA,NA,"firearm_anti",6,5,6,5,NA,NA,NA,5.33333333333333,"AIC_AI_Summary","Firearm Regulations",0,0,0,0,0,0,7,6,13,7,6,6,2,0.333333333333333,5.33333333333333,12.316,172.984
599,1,1,2,1,1,1,6,6,2,1,1,1,6,6,1,4,4,4,5,6,2,1,1,1,6,6,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"No, I do not believe that the US should have stricter regulation of firearms.  The Second Amendment clearly states that we, as Americans have the right to bear arms ",1,1,1,NA,NA,NA,"","","","The Second Amendment is fundamental to all American citizens.  We, as American citizens have the right to bear arms.  Period.  What do you want to take away next?  Freedom of Speech?  Get your hands of my guns.  Americans will not be stripped of their right to bear arms today, tomorrow, or any day.",64,2,3,"1",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.996,147.833,"firearm_control",1,1,4,1,NA,NA,NA,1,"Control","Firearm Regulations",0,0,0,0,0,0,0,1,1,1,0,6,3,0,6,15.996,147.833
603,1,1,1,6,6,6,6,6,1,6,6,6,6,6,1,5,6,6,6,6,1,1,3,6,6,4,"",NA,NA,NA,5,5,"",NA,NA,NA,"I believe the United States should implement a universal healthcare system because we should be taking care of our citizens. The US is also one of the most unhealthiest countries in the world - our health issues are rising, and we need to be able to care for those that need it.",5,6,6,"",NA,NA,NA,5,5,1,"","","Yes, I believe the united states should implement a universal healthcare system because it would help millions of citizens across the country. There wouldn't be this push and pull between patient and insurance companies, who are one of the biggest enemies of universal healthcare system. Patients should be able to receive the treatment they need in order to live, and universal healthcare can help ensure that lives will be saved. ","",34,2,5,"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.14,176.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uh_pro",6,6,5.66666666666667,3.33333333333333,NA,NA,5.66666666666667,NA,"AC_AI_Summary","Universal Healthcare",0,0,0,0,7,6,0,0,13,7,6,6,3,0,5.66666666666667,26.14,176.34
559,1,1,1,6,6,6,5,5,1,5,6,5,5,4,1,5,6,6,6,6,1,2,5,6,5,5,"",NA,NA,NA,NA,NA,"Yes, because they help prevent illnesses.",6,6,6,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","Vaccine mandates are great way of eliminating viruses and diseases. They've been historically successful in wiping out viruses and diseases like smallpox and polio. Also, being inoculated can save a person money in the long run. Coming down with something like the flu can put a severe hamper on your paycheck. Furthermore, with the growing cost of medical procedures, isn't better to have an extra layer of protection?  ","","",40,1,4,"1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.317,173.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vaccine_control",6,5.33333333333333,5.66666666666667,4.33333333333333,NA,6,NA,NA,"Control","Vaccine Mandates",0,0,5,4,0,0,0,0,9,5,4,4.5,3,0.666666666666667,6,3.317,173.982
